,Age,Attribution Skepticism,Impact Skepticism,Trend Skepticism,Response Skepticism,Gender,Marital,Education,Income,Cluster
0,42.0,3.0,3.3333333333333335,3.0,1.6666666666666667,1,1,5.0,18000,1
1,51.0,3.3333333333333335,3.0,3.3333333333333335,2.3333333333333335,3,1,18.0,23000,1
2,40.0,3.6666666666666665,3.0,3.6666666666666665,2.3333333333333335,0,1,8.0,10000,1
3,19.0,1.3333333333333333,0.6666666666666666,0.0,1.6666666666666667,0,5,25.0,31000,2
4,42.0,2.3333333333333335,0.6666666666666666,2.0,2.3333333333333335,2,1,13.0,40000,2
5,48.0,3.3333333333333335,4.0,3.3333333333333335,2.0,2,1,13.0,11000,1
6,33.0,1.3333333333333333,0.0,1.3333333333333333,1.6666666666666667,0,2,22.0,36400,2
7,55.0,3.0,3.0,3.3333333333333335,2.3333333333333335,2,2,8.0,28000,1
8,40.0,3.0,3.3333333333333335,4.0,1.6666666666666667,3,3,18.0,12000,1
9,46.0,2.6666666666666665,0.6666666666666666,1.6666666666666667,2.3333333333333335,2,1,13.0,35000,2
10,27.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.6666666666666667,3,0,13.0,25000,0
11,25.0,0.6666666666666666,1.0,1.3333333333333333,2.0,3,1,25.0,36000,0
12,19.0,1.0,0.3333333333333333,1.0,2.6666666666666665,0,0,18.0,40000,2
13,41.0,2.5,0.0,2.0,2.6666666666666665,0,2,13.0,47600,2
14,42.0,2.6666666666666665,0.0,1.6666666666666667,1.6666666666666667,0,1,13.0,28000,2
15,21.0,0.3333333333333333,1.0,0.5,2.6666666666666665,0,5,18.0,33000,2
16,51.0,2.0,1.3333333333333333,2.6666666666666665,2.6666666666666665,0,1,13.0,34000,2
17,38.0,1.6666666666666667,0.0,1.6666666666666667,2.6666666666666665,1,1,22.0,33000,2
18,50.0,2.6666666666666665,1.3333333333333333,2.3333333333333335,2.3333333333333335,1,1,13.0,29000,2
19,37.0,3.6666666666666665,3.0,3.6666666666666665,2.0,3,2,13.0,15399,1
20,47.0,3.0,3.3333333333333335,3.0,2.0,1,1,18.0,14000,1
21,53.0,3.3333333333333335,4.0,4.0,2.6666666666666665,2,1,13.0,20000,1
22,22.0,1.0,1.0,1.0,2.6666666666666665,3,0,13.0,32000,0
23,20.0,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.6666666666666667,2,0,18.0,33000,0
24,21.0,1.0,0.6666666666666666,0.0,1.6666666666666667,1,1,13.0,27000,2
25,52.0,1.6666666666666667,1.3333333333333333,1.6666666666666667,2.3333333333333335,2,5,8.0,39000,2
26,51.0,2.3333333333333335,0.0,2.0,2.3333333333333335,3,1,8.0,30000,0
27,19.0,0.6666666666666666,1.0,0.6666666666666666,2.0,3,1,25.0,27000,0
28,54.0,1.6666666666666667,0.6666666666666666,1.6666666666666667,2.3333333333333335,2,2,13.0,56000,2
29,37.0,3.3333333333333335,3.6666666666666665,3.3333333333333335,1.6666666666666667,1,3,5.0,16000,1
30,54.0,4.0,3.3333333333333335,3.3333333333333335,2.6666666666666665,1,2,8.0,22400,1
31,48.0,2.6666666666666665,0.5,1.6666666666666667,2.0,3,2,13.0,51800,0
32,40.0,3.6666666666666665,3.6666666666666665,4.0,2.6666666666666665,1,1,8.0,24000,1
33,35.0,0.0,1.3333333333333333,0.0,2.0,1,0,25.0,28000,2
34,37.0,2.3333333333333335,1.0,1.6666666666666667,2.6666666666666665,0,1,13.0,39000,2
35,25.0,0.0,0.6666666666666666,1.3333333333333333,1.6666666666666667,0,0,22.0,39000,2
36,30.0,0.6666666666666666,1.0,1.3333333333333333,1.6666666666666667,3,0,18.0,33000,0
37,39.0,3.3333333333333335,4.0,5.0,2.6666666666666665,1,1,8.0,24000,1
38,42.0,2.3333333333333335,1.3333333333333333,2.0,2.6666666666666665,3,1,8.0,38000,0
39,42.0,3.3333333333333335,3.0,3.6666666666666665,1.6666666666666667,3,4,8.0,13000,1
40,40.0,1.6666666666666667,0.3333333333333333,2.0,2.0,2,5,8.0,32000,2
41,32.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.6666666666666667,0,2,22.0,50400,2
42,38.0,4.0,4.0,3.3333333333333335,1.6666666666666667,1,1,5.0,24000,1
43,50.0,3.3333333333333335,3.3333333333333335,3.0,1.6666666666666667,3,1,18.0,20000,1
44,36.0,2.6666666666666665,0.3333333333333333,2.0,1.6666666666666667,3,3,13.0,36000,0
45,36.0,4.0,3.6666666666666665,3.3333333333333335,2.6666666666666665,1,4,18.0,19000,1
46,44.0,4.0,3.0,4.0,2.3333333333333335,0,4,13.0,15000,1
47,55.0,3.3333333333333335,3.3333333333333335,3.0,2.0,1,2,8.0,28000,1
48,28.0,0.6666666666666666,0.0,1.0,2.6666666666666665,3,0,25.0,38000,0
49,32.0,0.3333333333333333,1.3333333333333333,0.3333333333333333,2.6666666666666665,0,0,18.0,30000,2
50,36.0,1.6666666666666667,0.3333333333333333,2.3333333333333335,2.0,3,1,18.0,27000,0
51,19.0,0.6666666666666666,0.0,1.3333333333333333,3.0,1,5,13.0,31000,2
52,52.0,1.6666666666666667,1.3333333333333333,2.0,1.6666666666666667,1,2,22.0,54600,2
53,36.0,2.6666666666666665,0.6666666666666666,2.0,1.6666666666666667,3,1,13.0,26000,0
54,53.0,2.0,0.0,1.6666666666666667,2.6666666666666665,2,2,13.0,42000,2
55,50.0,2.0,0.6666666666666666,2.0,2.0,2,1,13.0,29000,2
56,38.924528301886795,2.6666666666666665,0.3333333333333333,1.6666666666666667,1.6666666666666667,1,0,13.0,25000,2
57,22.0,0.6666666666666666,1.0,1.3333333333333333,2.3333333333333335,1,0,13.0,39000,2
58,42.0,4.0,4.0,3.6666666666666665,2.6666666666666665,3,2,13.0,15399,1
59,31.0,0.3333333333333333,0.0,0.0,2.3333333333333335,1,0,22.0,29000,2
60,53.0,3.0,3.0,4.0,2.6666666666666665,0,5,5.0,12000,1
61,39.0,3.6666666666666665,3.0,3.6666666666666665,2.3333333333333335,2,4,8.0,12000,1
62,50.0,2.0,0.3333333333333333,2.6666666666666665,1.6666666666666667,0,1,18.0,29000,2
63,36.0,4.0,3.3333333333333335,4.0,2.3333333333333335,2,1,13.0,21000,1
