,Age,Attribution Skepticism,Impact Skepticism,Trend Skepticism,Response Skepticism,Gender,Marital,Education,Income,Cluster
0,42.0,3.0,3.3333333333333335,3.0,1.6666666666666667,1,1,5.0,18000,0
1,51.0,3.3333333333333335,3.0,3.3333333333333335,2.3333333333333335,3,1,18.0,23000,0
2,40.0,3.6666666666666665,3.0,3.6666666666666665,2.3333333333333335,0,1,8.0,10000,0
3,19.0,1.3333333333333333,0.6666666666666666,0.0,1.6666666666666667,0,5,25.0,31000,1
4,42.0,2.3333333333333335,0.6666666666666666,2.0,2.3333333333333335,2,1,13.0,40000,2
5,48.0,3.3333333333333335,4.0,3.3333333333333335,2.0,2,1,13.0,11000,0
6,33.0,1.3333333333333333,0.0,1.3333333333333333,1.6666666666666667,0,2,22.0,36400,1
7,55.0,3.0,3.0,3.3333333333333335,2.3333333333333335,2,2,8.0,28000,0
8,40.0,3.0,3.3333333333333335,4.0,1.6666666666666667,3,3,18.0,12000,0
9,46.0,2.6666666666666665,0.6666666666666666,1.6666666666666667,2.3333333333333335,2,1,13.0,35000,2
10,27.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.6666666666666667,3,0,13.0,25000,2
11,25.0,0.6666666666666666,1.0,1.3333333333333333,2.0,3,1,25.0,36000,2
12,19.0,1.0,0.3333333333333333,1.0,2.6666666666666665,0,0,18.0,40000,1
13,41.0,2.5,0.0,2.0,2.6666666666666665,0,2,13.0,47600,1
14,42.0,2.6666666666666665,0.0,1.6666666666666667,1.6666666666666667,0,1,13.0,28000,1
15,21.0,0.3333333333333333,1.0,0.5,2.6666666666666665,0,5,18.0,33000,1
16,51.0,2.0,1.3333333333333333,2.6666666666666665,2.6666666666666665,0,1,13.0,34000,1
17,38.0,1.6666666666666667,0.0,1.6666666666666667,2.6666666666666665,1,1,22.0,33000,1
18,50.0,2.6666666666666665,1.3333333333333333,2.3333333333333335,2.3333333333333335,1,1,13.0,29000,1
19,37.0,3.6666666666666665,3.0,3.6666666666666665,2.0,3,2,13.0,15399,0
20,47.0,3.0,3.3333333333333335,3.0,2.0,1,1,18.0,14000,0
21,53.0,3.3333333333333335,4.0,4.0,2.6666666666666665,2,1,13.0,20000,0
22,22.0,1.0,1.0,1.0,2.6666666666666665,3,0,13.0,32000,2
23,20.0,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.6666666666666667,2,0,18.0,33000,2
24,21.0,1.0,0.6666666666666666,0.0,1.6666666666666667,1,1,13.0,27000,1
25,52.0,1.6666666666666667,1.3333333333333333,1.6666666666666667,2.3333333333333335,2,5,8.0,39000,0
26,51.0,2.3333333333333335,0.0,2.0,2.3333333333333335,3,1,8.0,30000,2
27,19.0,0.6666666666666666,1.0,0.6666666666666666,2.0,3,1,25.0,27000,2
28,54.0,1.6666666666666667,0.6666666666666666,1.6666666666666667,2.3333333333333335,2,2,13.0,56000,2
29,37.0,3.3333333333333335,3.6666666666666665,3.3333333333333335,1.6666666666666667,1,3,5.0,16000,0
30,54.0,4.0,3.3333333333333335,3.3333333333333335,2.6666666666666665,1,2,8.0,22400,0
31,48.0,2.6666666666666665,0.5,1.6666666666666667,2.0,3,2,13.0,51800,2
32,40.0,3.6666666666666665,3.6666666666666665,4.0,2.6666666666666665,1,1,8.0,24000,0
33,35.0,0.0,1.3333333333333333,0.0,2.0,1,0,25.0,28000,1
34,37.0,2.3333333333333335,1.0,1.6666666666666667,2.6666666666666665,0,1,13.0,39000,1
35,25.0,0.0,0.6666666666666666,1.3333333333333333,1.6666666666666667,0,0,22.0,39000,1
36,30.0,0.6666666666666666,1.0,1.3333333333333333,1.6666666666666667,3,0,18.0,33000,2
37,39.0,3.3333333333333335,4.0,5.0,2.6666666666666665,1,1,8.0,24000,0
38,42.0,2.3333333333333335,1.3333333333333333,2.0,2.6666666666666665,3,1,8.0,38000,2
39,42.0,3.3333333333333335,3.0,3.6666666666666665,1.6666666666666667,3,4,8.0,13000,0
40,40.0,1.6666666666666667,0.3333333333333333,2.0,2.0,2,5,8.0,32000,2
41,32.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.6666666666666667,0,2,22.0,50400,1
42,38.0,4.0,4.0,3.3333333333333335,1.6666666666666667,1,1,5.0,24000,0
43,50.0,3.3333333333333335,3.3333333333333335,3.0,1.6666666666666667,3,1,18.0,20000,0
44,36.0,2.6666666666666665,0.3333333333333333,2.0,1.6666666666666667,3,3,13.0,36000,2
45,36.0,4.0,3.6666666666666665,3.3333333333333335,2.6666666666666665,1,4,18.0,19000,0
46,44.0,4.0,3.0,4.0,2.3333333333333335,0,4,13.0,15000,0
47,55.0,3.3333333333333335,3.3333333333333335,3.0,2.0,1,2,8.0,28000,0
48,28.0,0.6666666666666666,0.0,1.0,2.6666666666666665,3,0,25.0,38000,2
49,32.0,0.3333333333333333,1.3333333333333333,0.3333333333333333,2.6666666666666665,0,0,18.0,30000,1
50,36.0,1.6666666666666667,0.3333333333333333,2.3333333333333335,2.0,3,1,18.0,27000,2
51,19.0,0.6666666666666666,0.0,1.3333333333333333,3.0,1,5,13.0,31000,1
52,52.0,1.6666666666666667,1.3333333333333333,2.0,1.6666666666666667,1,2,22.0,54600,1
53,36.0,2.6666666666666665,0.6666666666666666,2.0,1.6666666666666667,3,1,13.0,26000,2
54,53.0,2.0,0.0,1.6666666666666667,2.6666666666666665,2,2,13.0,42000,2
55,50.0,2.0,0.6666666666666666,2.0,2.0,2,1,13.0,29000,2
56,38.924528301886795,2.6666666666666665,0.3333333333333333,1.6666666666666667,1.6666666666666667,1,0,13.0,25000,1
57,22.0,0.6666666666666666,1.0,1.3333333333333333,2.3333333333333335,1,0,13.0,39000,1
58,42.0,4.0,4.0,3.6666666666666665,2.6666666666666665,3,2,13.0,15399,0
59,31.0,0.3333333333333333,0.0,0.0,2.3333333333333335,1,0,22.0,29000,1
60,53.0,3.0,3.0,4.0,2.6666666666666665,0,5,5.0,12000,0
61,39.0,3.6666666666666665,3.0,3.6666666666666665,2.3333333333333335,2,4,8.0,12000,0
62,50.0,2.0,0.3333333333333333,2.6666666666666665,1.6666666666666667,0,1,18.0,29000,1
63,36.0,4.0,3.3333333333333335,4.0,2.3333333333333335,2,1,13.0,21000,0
64,29.0,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.6666666666666667,1,0,22.0,29000,1
65,32.0,0.0,0.3333333333333333,0.6666666666666666,2.3333333333333335,2,2,13.0,50400,2
66,29.0,1.3333333333333333,0.6666666666666666,0.0,2.6666666666666665,2,5,18.0,35000,2
67,51.0,2.0,0.6666666666666666,2.3333333333333335,2.6666666666666665,0,1,13.0,40000,1
68,47.0,3.0,4.0,4.0,2.0,3,3,8.0,16000,0
69,18.0,1.0,0.6666666666666666,1.0,2.0,1,2,13.0,37800,1
70,51.0,3.0,3.0,4.0,1.6666666666666667,0,2,8.0,15399,0
71,27.0,1.0,1.0,0.6666666666666666,2.3333333333333335,1,0,18.0,35000,1
72,44.0,2.3333333333333335,1.0,1.6666666666666667,1.6666666666666667,0,1,18.0,40000,1
73,54.0,3.6666666666666665,3.3333333333333335,3.0,2.3333333333333335,3,4,18.0,21000,0
74,49.0,2.3333333333333335,1.3333333333333333,1.6666666666666667,2.3333333333333335,0,3,18.0,35000,1
75,50.0,2.0,0.3333333333333333,2.3333333333333335,1.6666666666666667,0,1,8.0,33000,1
76,36.0,2.6666666666666665,0.6666666666666666,2.0,1.6666666666666667,3,1,13.0,26000,2
77,35.0,1.0,0.3333333333333333,1.0,2.3333333333333335,3,1,14.10062893081761,32000,2
78,34.0,0.3333333333333333,1.3333333333333333,1.3333333333333333,2.6666666666666665,0,0,18.0,34000,1
79,52.0,3.3333333333333335,3.0,3.0,1.6666666666666667,2,2,13.0,23800,0
80,49.0,1.6666666666666667,0.0,2.3333333333333335,1.6666666666666667,2,1,13.0,30000,2
81,26.0,0.0,0.3333333333333333,1.3333333333333333,2.3333333333333335,2,5,18.0,27000,2
82,52.0,1.6666666666666667,0.0,2.3333333333333335,2.0,1,1,18.0,28000,1
83,25.0,0.3333333333333333,0.0,0.3333333333333333,2.0,2,0,22.0,26000,2
84,25.0,1.0,1.3333333333333333,1.3333333333333333,2.0,3,1,22.0,26000,2
85,42.0,3.6666666666666665,4.0,4.0,1.6666666666666667,1,2,13.0,35000,0
86,53.0,2.5,3.0,3.0,1.6666666666666667,3,1,13.0,17000,0
87,52.0,1.6666666666666667,0.0,2.3333333333333335,2.0,1,1,18.0,28000,1
88,18.0,0.6666666666666666,0.3333333333333333,1.0,2.6666666666666665,1,5,22.0,37000,1
89,38.0,2.6666666666666665,0.3333333333333333,2.6666666666666665,1.6666666666666667,3,3,22.0,34000,2
90,54.0,2.3333333333333335,1.3333333333333333,2.3333333333333335,0.0,1,5,18.0,26000,0
91,44.0,4.0,3.0,4.0,2.3333333333333335,0,4,13.0,15000,0
92,27.0,1.0,1.3333333333333333,1.0,2.6666666666666665,1,1,25.0,36000,1
93,31.0,0.6666666666666666,0.3333333333333333,1.3333333333333333,2.6666666666666665,0,2,22.0,39200,1
94,42.0,2.3333333333333335,0.6666666666666666,2.0,2.3333333333333335,2,1,13.0,40000,2
95,37.0,3.0,5.0,4.0,2.0,1,4,5.0,22000,0
96,42.0,4.0,3.0,3.0,2.3333333333333335,1,2,8.0,22400,0
97,42.0,2.0,0.6666666666666666,2.0,2.0,0,1,8.0,32000,1
98,49.0,4.0,3.0,3.3333333333333335,1.6666666666666667,0,1,5.0,25000,0
99,22.0,1.0,0.3333333333333333,1.0,1.6666666666666667,3,0,22.0,26000,2
100,52.0,3.6666666666666665,3.0,4.0,1.6666666666666667,2,2,8.0,35000,0
101,42.0,3.0,3.6666666666666665,3.6666666666666665,2.6666666666666665,2,1,8.0,17000,0
102,45.0,2.6666666666666665,0.3333333333333333,2.6666666666666665,1.6666666666666667,2,0,8.0,29000,2
103,19.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,2.0,1,0,22.0,36000,1
104,52.0,3.3333333333333335,3.0,3.0,2.0,3,2,8.0,35000,0
105,20.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,2.0,2,1,22.0,38000,2
106,42.0,2.3333333333333335,0.6666666666666666,2.0,2.3333333333333335,2,1,13.0,40000,2
107,28.0,0.6666666666666666,0.0,1.0,2.6666666666666665,3,0,25.0,38000,2
108,54.0,3.0,3.0,3.3333333333333335,2.0,1,4,8.0,20000,0
